Subject, Start Date, End Date, All Day Event, Start Time, End Time, Location
Mathematics, 26/1/2018, 26/1/2018, False, 13:45 PM, 15:00 PM, 524
Mathematics, 13/2/2018, 13/2/2018, False, 13:45 PM, 15:00 PM, 524
Mathematics, 16/3/2018, 16/3/2018, False, 13:45 PM, 15:00 PM, 524
Mathematics, 11/4/2018, 11/4/2018, False, 13:45 PM, 15:00 PM, 524
Mathematics, 27/4/2018, 27/4/2018, False, 13:45 PM, 15:00 PM, 524
Mathematics, 1/6/2018, 1/6/2018, False, 13:45 PM, 15:00 PM, 524
PE, 23/8/2017, 23/8/2017, False, 11:35 AM, 12:50 PM, 
PE, 8/9/2017, 8/9/2017, False, 11:35 AM, 12:50 PM, 
PE, 31/10/2017, 31/10/2017, False, 11:35 AM, 12:50 PM, 
PE, 20/11/2017, 20/11/2017, False, 11:35 AM, 12:50 PM, 
PE, 7/12/2017, 7/12/2017, False, 11:35 AM, 12:50 PM, 
PE, 10/1/2018, 10/1/2018, False, 11:35 AM, 12:50 PM, 
PE, 26/1/2018, 26/1/2018, False, 11:35 AM, 12:50 PM, 
PE, 13/2/2018, 13/2/2018, False, 11:35 AM, 12:50 PM, 
PE, 16/3/2018, 16/3/2018, False, 11:35 AM, 12:50 PM, 
PE, 11/4/2018, 11/4/2018, False, 11:35 AM, 12:50 PM, 
PE, 27/4/2018, 27/4/2018, False, 11:35 AM, 12:50 PM, 
PE, 1/6/2018, 1/6/2018, False, 11:35 AM, 12:50 PM, 
Chinese, 24/8/2017, 24/8/2017, False, 07:55 AM, 09:15 AM, 422
Chinese, 11/9/2017, 11/9/2017, False, 07:55 AM, 09:15 AM, 422
Chinese, 27/9/2017, 27/9/2017, False, 07:55 AM, 09:15 AM, 422
Chinese, 1/11/2017, 1/11/2017, False, 07:55 AM, 09:15 AM, 422
Chinese, 8/12/2017, 8/12/2017, False, 07:55 AM, 09:15 AM, 422
Chinese, 11/1/2018, 11/1/2018, False, 07:55 AM, 09:15 AM, 422
Chinese, 29/1/2018, 29/1/2018, False, 07:55 AM, 09:15 AM, 422
Chinese, 19/3/2018, 19/3/2018, False, 07:55 AM, 09:15 AM, 422
Chinese, 12/4/2018, 12/4/2018, False, 07:55 AM, 09:15 AM, 422
Chinese, 30/4/2018, 30/4/2018, False, 07:55 AM, 09:15 AM, 422
Chinese, 4/6/2018, 4/6/2018, False, 07:55 AM, 09:15 AM, 422
Individual and Society, 24/8/2017, 24/8/2017, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 11/9/2017, 11/9/2017, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 27/9/2017, 27/9/2017, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 1/11/2017, 1/11/2017, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 8/12/2017, 8/12/2017, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 11/1/2018, 11/1/2018, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 29/1/2018, 29/1/2018, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 19/3/2018, 19/3/2018, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 12/4/2018, 12/4/2018, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 30/4/2018, 30/4/2018, False, 09:20 AM, 10:35 AM, 524
Individual and Society, 4/6/2018, 4/6/2018, False, 09:20 AM, 10:35 AM, 524
Advisory, 24/8/2017, 24/8/2017, False, 11:05 AM, 11:30 AM,
Advisory, 11/9/2017, 11/9/2017, False, 11:05 AM, 11:30 AM,
Advisory, 27/9/2017, 27/9/2017, False, 11:05 AM, 11:30 AM,
Advisory, 1/11/2017, 1/11/2017, False, 11:05 AM, 11:30 AM,
Advisory, 8/12/2017, 8/12/2017, False, 11:05 AM, 11:30 AM,
Advisory, 11/1/2018, 11/1/2018, False, 11:05 AM, 11:30 AM,
Advisory, 29/1/2018, 29/1/2018, False, 11:05 AM, 11:30 AM,
Advisory, 19/3/2018, 19/3/2018, False, 11:05 AM, 11:30 AM,
Advisory, 12/4/2018, 12/4/2018, False, 11:05 AM, 11:30 AM,
Advisory, 30/4/2018, 30/4/2018, False, 11:05 AM, 11:30 AM,
Advisory, 4/6/2018, 4/6/2018, False, 11:05 AM, 11:30 AM,
Music, 24/8/2017, 24/8/2017, False, 13:45 PM, 15:00 PM, 411
Music, 11/9/2017, 11/9/2017, False, 13:45 PM, 15:00 PM, 411
Music, 27/9/2017, 27/9/2017, False, 13:45 PM, 15:00 PM, 411
Music, 1/11/2017, 1/11/2017, False, 13:45 PM, 15:00 PM, 411
Music, 8/12/2017, 8/12/2017, False, 13:45 PM, 15:00 PM, 411
Music, 11/1/2018, 11/1/2018, False, 13:45 PM, 15:00 PM, 411
Music, 29/1/2018, 29/1/2018, False, 13:45 PM, 15:00 PM, 411
Music, 19/3/2018, 19/3/2018, False, 13:45 PM, 15:00 PM, 411
Music, 12/4/2018, 12/4/2018, False, 13:45 PM, 15:00 PM, 411
Music, 30/4/2018, 30/4/2018, False, 13:45 PM, 15:00 PM, 411
Music, 4/6/2018, 4/6/2018, False, 13:45 PM, 15:00 PM, 411
English, 24/8/2017, 24/8/2017, False, 11:35 AM, 12:50 PM, 524
English, 11/9/2017, 11/9/2017, False, 11:35 AM, 12:50 PM, 524
English, 27/9/2017, 27/9/2017, False, 11:35 AM, 12:50 PM, 524
English, 1/11/2017, 1/11/2017, False, 11:35 AM, 12:50 PM, 524
English, 8/12/2017, 8/12/2017, False, 11:35 AM, 12:50 PM, 524
English, 11/1/2018, 11/1/2018, False, 11:35 AM, 12:50 PM, 524
English, 29/1/2018, 29/1/2018, False, 11:35 AM, 12:50 PM, 524
English, 19/3/2018, 19/3/2018, False, 11:35 AM, 12:50 PM, 524
English, 12/4/2018, 12/4/2018, False, 11:35 AM, 12:50 PM, 524
English, 30/4/2018, 30/4/2018, False, 11:35 AM, 12:50 PM, 524
English, 4/6/2018, 4/6/2018, False, 11:35 AM, 12:50 PM, 524
English X, 25/8/2017, 25/8/2017, False, 07:55 AM, 09:15 AM, 226
English X, 28/9/2017, 28/9/2017, False, 07:55 AM, 09:15 AM, 226
English X, 29/9/2017, 29/9/2017, False, 07:55 AM, 09:15 AM, 226
English X, 2/11/2017, 2/11/2017, False, 07:55 AM, 09:15 AM, 226
English X, 22/11/2017, 22/11/2017, False, 07:55 AM, 09:15 AM, 226
English X, 11/12/2017, 11/12/2017, False, 07:55 AM, 09:15 AM, 226
